# SOURCE: https://www.doomworld.com/forum/topic/42446-a-list-of-textures/

Level MAP01



== Textures ==

1. ASHWALL3
2. BIGDOOR1
3. BRNSMAL1
4. BRONZE1
5. BRONZE2
6. BROVINE2
7. BROWN1
8. BROWN96
9. BROWNGRN
10. BROWNHUG
11. CEMENT9
12. COMPSPAN
13. COMPWERD
14. doortrak
15. EXITDOOR
16. EXITSIGN
17. LITE5
18. MIDBARS3
19. MODWALL2
20. MODWALL3
21. PIPE2
22. PIPE4
23. SPACEW3
24. SPACEW4
25. STEP2
26. STEP6
27. STONE7
28. support2
29. SW1BRCOM
30. SW1BRNGN
31. SW1COMP
32. SW2BRCOM
33. TEKGREN1
34. TEKGREN2
35. TEKGREN3
36. TEKGREN4
37. TEKGREN5
38. TEKWALL4
39. TEKWALL6

39 unique Textures used

== Flats ==

1. CEIL1_2
2. CEIL1_3
3. CEIL3_1
4. CEIL3_3
5. CEIL5_1
6. CEIL5_2
7. F_SKY1
8. FLAT10
9. FLAT18
10. FLAT1_1
11. FLAT1_2
12. FLAT2
13. FLAT20
14. FLAT23
15. FLAT4
16. FLAT5
17. FLAT5_5
18. FLOOR0_1
19. FLOOR0_2
20. FLOOR1_1
21. FLOOR3_3
22. FLOOR4_1
23. FLOOR5_3
24. FLOOR5_4
25. FLOOR7_1
26. FWATER4
27. GRASS1
28. GRNLITE1
29. MFLR8_3
30. RROCK09
31. TLITE6_4

31 unique Flats used

Level MAP02


== Textures ==

1. BIGBRIK1
2. BIGDOOR1
3. BIGDOOR3
4. BIGDOOR4
5. COMPSTA1
6. COMPSTA2
7. COMPTALL
8. DOORBLU
9. DOORRED
10. DOORTRAK
11. EXITSIGN
12. METAL2
13. PIPEWAL1
14. PIPEWAL2
15. SHAWN2
16. SPACEW2
17. SPACEW3
18. SPCDOOR2
19. STARG1
20. STARTAN3
21. STEP1
22. STEP2
23. STEP5
24. STEPLAD1
25. STONE4
26. STONE5
27. STUCCO
28. SUPPORT3
29. SW1COMM
30. SW1EXIT

30 unique Textures used

== Flats ==

1. CEIL5_1
2. CEIL5_2
3. CRATOP2
4. F_SKY1
5. FLAT1
6. FLAT18
7. FLAT2
8. FLAT23
9. FLAT5_4
10. FLAT5_5
11. FLOOR0_3
12. FLOOR5_3
13. FWATER1
14. GATE3
15. GRASS2

15 unique Flats used

Level MAP03


== Textures ==

1. BRICK4
2. BRICK5
3. BROWN144
4. BROWN96
5. DOOR3
6. DOORBLU
7. DOORRED
8. DOORTRAK
9. EXITSIGN
10. METAL
11. METAL2
12. METAL3
13. METAL5
14. METAL7
15. SHAWN2
16. STEP2
17. STONE4
18. STONE6
19. SUPPORT3
20. SW1BROWN
21. SW1COMM
22. SW1MET2
23. TEKBRON1
24. TEKBRON2

24 unique Textures used

== Flats ==

1. CEIL5_1
2. CEIL5_2
3. CRATOP2
4. DEM1_5
5. F_SKY1
6. FLAT1
7. FLAT19
8. FLOOR7_1
9. FWATER1
10. FWATER4
11. GATE2
12. GATE3
13. GRASS2
14. MFLR8_2

14 unique Flats used

Level MAP04


== Textures ==

1. CRATE1
2. CRATE2
3. CRATE3
